group1	group2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci
d10_1007_3	d10_1015_1	11	0.232458	0.741412	0.006087	0.003933	0.008242
d10_1008_1	d10_1015_1	7	0.597793	0.759743	0.757226	0.750117	0.764334
d10_1008_3	d10_1015_1	8	0.353524	0.734919	0.115988	0.111172	0.120804
d10_1009_1	d10_1015_1	10	0.185998	0.760175	0.012889	0.009168	0.016611
d10_1009_2	d10_1015_1	8	0.350087	0.747562	0.092871	0.086042	0.0997
d10_1009_4	d10_1015_1	6	0.381479	0.716451	0.12356	0.116122	0.130997
d10_1010_2	d10_1015_1	6	0.19114	0.734994	0.090468	0.085055	0.095881
d10_1010_3	d10_1015_1	11	0.347587	0.747448	0.14474	0.139621	0.149858
d10_1010_4	d10_1015_1	6	0.273369	0.741308	0.063401	0.058853	0.067948
d0_972_1	d10_1015_2	9	0.825375	0.679576	0.865956	0.86213	0.869783
d0_972_2	d10_1015_2	8	0.806407	0.698417	0.865873	0.862044	0.869702
d0_972_3	d10_1015_2	10	0.818113	0.710838	0.865969	0.862143	0.869795
d10_1006_1	d10_1015_2	11	0.092604	0.716545	0.022804	0.019361	0.026248
d10_1006_2	d10_1015_2	7	0.286343	0.748589	0.026939	0.022337	0.031542
d10_1006_3	d10_1015_2	9	0.366385	0.742168	0.220812	0.208885	0.23274
d10_1007_1	d10_1015_2	8	0.302432	0.761198	0.028958	0.024182	0.033734
d10_1007_2	d10_1015_2	11	0.335988	0.611799	0.015379	0.013581	0.017177
d10_1007_3	d10_1015_2	12	0.090066	0.704218	0.017068	0.014186	0.01995
d10_1008_1	d10_1015_2	8	0.720366	0.723156	0.869054	0.864977	0.873131
d10_1008_3	d10_1015_2	9	0.202086	0.697956	0.091019	0.087141	0.094897
d10_1009_1	d10_1015_2	11	0.334277	0.723274	0.008864	0.006203	0.011526
d10_1009_2	d10_1015_2	9	0.180467	0.711012	0.012016	0.010032	0.014
d10_1009_4	d10_1015_2	8	0.204058	0.692042	0.026257	0.023469	0.029044
d10_1010_2	d10_1015_2	8	0.322847	0.710741	0.066209	0.061597	0.07082
d10_1010_3	d10_1015_2	11	0.191966	0.698247	0.125737	0.120957	0.130517
d10_1010_4	d10_1015_2	9	0.106246	0.729146	0.034133	0.031867	0.036398
d10_1015_1	d10_1015_2	9	0.198604	0.655116	0.042212	0.03687	0.047554
d0_972_1	d10_1015_3	10	0.803333	0.771838	0.877435	0.874421	0.88045
d0_972_2	d10_1015_3	11	0.785521	0.815269	0.877357	0.874341	0.880374
d0_972_3	d10_1015_3	11	0.796531	0.802652	0.877445	0.874431	0.880459
d10_1006_1	d10_1015_3	11	0.193612	0.796725	0.032235	0.028469	0.036002
d10_1006_2	d10_1015_3	7	0.436907	0.827842	0.036903	0.031808	0.041998
d10_1006_3	d10_1015_3	7	0.432776	0.796422	0.241077	0.229446	0.252708
d10_1007_1	d10_1015_3	8	0.449613	0.840146	0.040048	0.034788	0.045307
d10_1007_2	d10_1015_3	14	0.181348	0.729367	0.010432	0.009351	0.011513
d10_1007_3	d10_1015_3	13	0.147498	0.796877	0.025786	0.022573	0.028999
d10_1008_1	d10_1015_3	7	0.712444	0.790382	0.880362	0.876996	0.883728
d10_1008_3	d10_1015_3	10	0.19143	0.790455	0.09802	0.09393	0.102109
d10_1009_1	d10_1015_3	10	0.478904	0.790534	0.015358	0.012036	0.01868
d10_1009_2	d10_1015_3	10	0.043162	0.803103	0.005908	0.004682	0.007134
d10_1009_4	d10_1015_3	9	0.062129	0.784277	0.016818	0.014874	0.018762
d10_1010_2	d10_1015_3	9	0.457323	0.802695	0.073102	0.068143	0.078061
d10_1010_3	d10_1015_3	10	0.215644	0.766197	0.133497	0.128554	0.13844
d10_1010_4	d10_1015_3	10	0.190581	0.821338	0.039745	0.037136	0.042353
d10_1015_1	d10_1015_3	7	0.323352	0.71033	0.05467	0.049026	0.060314
d10_1015_2	d10_1015_3	12	0.185452	0.722684	0.001211	0.000588	0.001834
d0_972_1	d10_972_1	10	0.19271	0.803052	0.000002	0	0.000005
d0_972_2	d10_972_1	12	0.09717	0.858306	0.000001	0	0.000002
d0_972_3	d10_972_1	10	0.156737	0.821453	0.000004	0.000001	0.000007
d10_1006_1	d10_972_1	12	0.682695	0.839681	0.77765	0.772342	0.782958
d10_1006_2	d10_972_1	8	0.762596	0.870711	0.768208	0.760808	0.775607
d10_1006_3	d10_972_1	7	0.610907	0.827451	0.538946	0.528466	0.549425
d10_1007_1	d10_972_1	5	0.774594	0.833465	0.776664	0.769402	0.783926
d10_1007_2	d10_972_1	11	0.832702	0.723628	0.924487	0.922602	0.926372
d10_1007_3	d10_972_1	12	0.68497	0.81561	0.793518	0.788766	0.798269
d10_1008_1	d10_972_1	8	0.55812	0.833664	0.277654	0.266296	0.289012
d10_1008_3	d10_972_1	9	0.813272	0.808695	0.889665	0.886767	0.892563
d10_1009_1	d10_972_1	8	0.810664	0.796409	0.81261	0.80583	0.819389
d10_1009_2	d10_972_1	11	0.826222	0.845946	0.91386	0.911466	0.916254
d10_1009_4	d10_972_1	7	0.867378	0.789927	0.93629	0.934278	0.938302
d10_1010_2	d10_972_1	8	0.857258	0.820692	0.881223	0.876806	0.885639
d10_1010_3	d10_972_1	11	0.816418	0.809007	0.889858	0.886945	0.892771
d10_1010_4	d10_972_1	9	0.799969	0.839477	0.875894	0.872504	0.879284
d10_1015_1	d10_972_1	9	0.707994	0.765969	0.746182	0.739307	0.753057
d10_1015_2	d10_972_1	8	0.787763	0.704454	0.865905	0.862076	0.869734
d10_1015_3	d10_972_1	8	0.768781	0.784289	0.877393	0.874377	0.880409
d0_972_1	d10_972_2	11	0.173266	0.846415	0	0	0.000001
d0_972_2	d10_972_2	11	0.077323	0.876798	0.000001	0	0.000001
d0_972_3	d10_972_2	13	0.136811	0.889354	0.000001	0	0.000002
d10_1006_1	d10_972_2	8	0.688706	0.821344	0.777746	0.772441	0.783051
d10_1006_2	d10_972_2	7	0.768186	0.888887	0.768306	0.760911	0.775702
d10_1006_3	d10_972_2	6	0.619949	0.845698	0.539192	0.52872	0.549664
d10_1007_1	d10_972_2	4	0.779905	0.851733	0.776766	0.769509	0.784023
d10_1007_2	d10_972_2	11	0.834651	0.754852	0.924522	0.922638	0.926406
d10_1007_3	d10_972_2	11	0.690439	0.834056	0.793607	0.788858	0.798356
d10_1008_1	d10_972_2	7	0.569975	0.852018	0.278031	0.266677	0.289384
d10_1008_3	d10_972_2	9	0.815907	0.839461	0.889727	0.886831	0.892623
d10_1009_1	d10_972_2	5	0.815448	0.790091	0.812687	0.805911	0.819463
d10_1009_2	d10_972_2	8	0.828856	0.839648	0.913895	0.911502	0.916288
d10_1009_4	d10_972_2	7	0.869383	0.820774	0.936318	0.934307	0.93833
d10_1010_2	d10_972_2	4	0.860329	0.802448	0.881286	0.876873	0.8857
d10_1010_3	d10_972_2	8	0.819098	0.802985	0.889921	0.88701	0.892832
d10_1010_4	d10_972_2	9	0.803096	0.870319	0.875957	0.872568	0.879345
d10_1015_1	d10_972_2	7	0.714163	0.772177	0.746297	0.739426	0.753168
d10_1015_2	d10_972_2	6	0.79161	0.710918	0.86596	0.862133	0.869787
d10_1015_3	d10_972_2	7	0.772178	0.802772	0.877441	0.874426	0.880456
d10_972_1	d10_972_2	11	0.021148	0.883148	0.000001	0	0.000003
d0_972_1	d10_972_3	10	0.153768	0.784613	0.000011	0.000005	0.000018
d0_972_2	d10_972_3	11	0.05724	0.827526	0.000007	0.000001	0.000012
d0_972_3	d10_972_3	10	0.117345	0.803008	0.000015	0.000007	0.000022
d10_1006_1	d10_972_3	10	0.694865	0.796497	0.777579	0.772267	0.782891
d10_1006_2	d10_972_3	8	0.774354	0.852144	0.768131	0.760726	0.775536
d10_1006_3	d10_972_3	7	0.629936	0.808838	0.538669	0.52818	0.549158
d10_1007_1	d10_972_3	5	0.785801	0.81504	0.776581	0.769313	0.783848
d10_1007_2	d10_972_3	9	0.836894	0.680284	0.924488	0.922603	0.926374
d10_1007_3	d10_972_3	11	0.69603	0.784262	0.793452	0.788697	0.798207
d10_1008_1	d10_972_3	8	0.581833	0.81524	0.277128	0.265765	0.288492
d10_1008_3	d10_972_3	7	0.819084	0.765156	0.889628	0.886728	0.892528
d10_1009_1	d10_972_3	6	0.820453	0.753026	0.812559	0.805775	0.819343
d10_1009_2	d10_972_3	8	0.831793	0.790301	0.913864	0.911469	0.916258
d10_1009_4	d10_972_3	3	0.87178	0.721934	0.936301	0.934289	0.938313
d10_1010_2	d10_972_3	5	0.8639	0.765128	0.881184	0.876764	0.885603
d10_1010_3	d10_972_3	10	0.822179	0.777948	0.889817	0.886902	0.892732
d10_1010_4	d10_972_3	6	0.806994	0.783888	0.875859	0.872466	0.879251
d10_1015_1	d10_972_3	7	0.72098	0.722536	0.746082	0.739202	0.752963
d10_1015_2	d10_972_3	7	0.795795	0.673232	0.865884	0.862053	0.869715
d10_1015_3	d10_972_3	7	0.77605	0.753073	0.877381	0.874363	0.880398
