sampleID	cage	day	mouse	exp	treatment	treatment2	group_time	group	group_col	group_time_col	bargroup	bargroup2
d10_972_2	972	10	2	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post10	other
d10_972_3	972	10	3	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post10	other
d10_1006_1	1006	10	1	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post10	noFMT
d10_1006_2	1006	10	2	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post10	noFMT
d10_1006_3	1006	10	3	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post10	noFMT
d10_1007_1	1007	10	1	3	FMT2	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d10_1007_2	1007	10	2	3	FMT2	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d10_1007_3	1007	10	3	3	FMT2	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d10_1008_1	1008	10	1	3	FMT3	FMT	post_CDI_vanco	CDI_FMT2	firebrick2	deepskyblue1	post10	FMT
d10_1008_3	1008	10	3	3	FMT3	FMT	post_CDI_vanco	CDI_FMT2	firebrick2	deepskyblue1	post10	FMT
d10_1009_1	1009	10	1	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	post10	FMT
d10_1009_2	1009	10	2	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	post10	FMT
d10_1009_4	1009	10	4	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	post10	FMT
d10_1010_2	1010	10	2	3	FMT2	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d10_1010_3	1010	10	3	3	FMT2	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d10_1010_4	1010	10	4	3	FMT2	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d10_1015_1	1015	10	1	3	FMT4	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d10_1015_2	1015	10	2	3	FMT4	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d10_1015_3	1015	10	3	3	FMT4	FMT	post_CDI_vanco	CDI_FMT1	firebrick2	deepskyblue1	post10	FMT
d12_972_1	972	12	1	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post12_noFMT	other
d12_972_2	972	12	2	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post12_noFMT	other
d12_972_3	972	12	3	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post12_noFMT	other
d12_1006_1	1006	12	1	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post12_noFMT	noFMT
d12_1006_2	1006	12	2	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post12_noFMT	noFMT
d12_1006_3	1006	12	3	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post12_noFMT	noFMT
d12_1006_4	1006	12	4	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post12_noFMT	noFMT
d12_1006_5	1006	12	5	3	abx	no_FMT	post_CDI_vanco	CDI_noFMT	darkviolet	deepskyblue1	post12_noFMT	noFMT
d12_1007_1	1007	12	1	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
d12_1007_2	1007	12	2	3	FMT2	FMT	post_FMT	CDI_FMT1	firebrick2	olivedrab2	post12_FMT	FMT
