sampleID	cage	day	mouse	exp	treatment	treatment2	group_time	group	group_col	group_time_col	bargroup	bargroup2
d36_1006_4	1006	36	4	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda36_noFMT	noFMT
d36_1006_5	1006	36	5	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda36_noFMT	noFMT
d36_1007_1	1007	36	1	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1007_2	1007	36	2	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1007_3	1007	36	3	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1007_5	1007	36	5	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1008_1	1008	36	1	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1008_2	1008	36	2	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1008_4	1008	36	4	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1008_5	1008	36	5	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1009_1	1009	36	1	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1009_2	1009	36	2	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1009_4	1009	36	4	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1009_5	1009	36	5	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1010_3	1010	36	3	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1010_4	1010	36	4	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1010_5	1010	36	5	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1015_1	1015	36	1	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1015_3	1015	36	3	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1015_4	1015	36	4	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d36_1015_5	1015	36	5	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda36_FMT	FMT
d37_1006_1	1006	37	1	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda37_noFMT	noFMT
d37_1006_2	1006	37	2	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda37_noFMT	noFMT
d37_1006_3	1006	37	3	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda37_noFMT	noFMT
d37_1006_4	1006	37	4	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda37_noFMT	noFMT
d37_1006_5	1006	37	5	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda37_noFMT	noFMT
d37_1007_1	1007	37	1	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1007_2	1007	37	2	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1007_3	1007	37	3	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1007_5	1007	37	5	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1008_1	1008	37	1	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1008_2	1008	37	2	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1008_4	1008	37	4	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1008_5	1008	37	5	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1009_1	1009	37	1	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1009_2	1009	37	2	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1009_4	1009	37	4	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1009_5	1009	37	5	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1010_3	1010	37	3	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1010_4	1010	37	4	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1010_5	1010	37	5	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1015_1	1015	37	1	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1015_3	1015	37	3	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1015_4	1015	37	4	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d37_1015_5	1015	37	5	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda37_FMT	FMT
d42_1006_1	1006	42	1	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda42_noFMT	noFMT
d42_1006_2	1006	42	2	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda42_noFMT	noFMT
d42_1006_3	1006	42	3	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda42_noFMT	noFMT
d42_1006_4	1006	42	4	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda42_noFMT	noFMT
d42_1006_5	1006	42	5	3	abx	no_FMT	post_CDI_vanco_clinda	CDI_noFMT	darkviolet	blue1	post_clinda42_noFMT	noFMT
d42_1007_1_col	1007	42	col	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1007_2	1007	42	2	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1007_3	1007	42	3	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1008_1	1008	42	1	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1008_2	1008	42	2	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1008_4	1008	42	4	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1008_5	1008	42	5	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1009_1	1009	42	1	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1009_2	1009	42	2	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1009_4	1009	42	4	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1009_5	1009	42	5	3	FMT3	FMT	post_FMT_clinda	CDI_FMT2	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1010_3	1010	42	3	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1010_4	1010	42	4	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1010_5	1010	42	5	3	FMT2	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1015_1	1015	42	1	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1015_3	1015	42	3	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1015_4	1015	42	4	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
d42_1015_5	1015	42	5	3	FMT4	FMT	post_FMT_clinda	CDI_FMT1	firebrick2	gold1	post_clinda42_FMT	FMT
